owner,groupId,totalAmount
0x71a9Ed2C82382d53e8452c22908517b9Ddf8ED55,200,12000000.00000000
0x21A0ef59a052A9785201a8083D84c41b62D96c55,200,12000000.00000000
0xCa6D28420b8033df3ceb320Db262921eDD9277Cd,200,12000000.00000000
0xB4C57146476fc1F6FA4a9529a56BA4b04a4C91b7,200,12000000.00000000
0x92Adb24B984681A108d030B30663bfA30241EC66,200,12000000.00000000
0x1e85bCcC45be41D2753fb582921e9faC3b497007,200,12000000.00000000
0x6248196A5C43464081E7174Ff2dDf2F26989177D,200,12000000.00000000
0x8365ed8D5D1BCA0f70d670b6b78D699943A57411,200,12000000.00000000
0x5d983df2B785F2dc7E9cacC958D5472CCF928A50,200,15000000.00000000
0xBA5C9Cd758E6438ad7c32676Cd1275F2B08f45EA,200,11600000.00000000
0xc7B1D38d44aE8cFF4130cf8bc1cA839df9fdA94D,200,5705000.00000000
0x4da8207045E776999f2A6Fa0Cd6de70166CEc032,200,5705000.00000000
0xAee7AB60Ded09a21F50E9Be5f836D7E6808C13AB,200,11200000.00000000
0xfF8dbaF0e61eAc9575f9fda263c845C5936B6a59,200,13064060.00000000
0xb4F238fe0fF8117D71bFf788a10eA04FCfe5b510,200,10728112.00000000
0xd6F02096be32F6B4dee9F0BaAa64F8DAe401cFb7,200,10600000.00000000
0x7e4E56B143dc60099EC03ca67eFE0842b991EA9a,200,10600000.00000000
0xf7e6dEdeE57a5F1Ba014c9B818C71cc038ff871b,200,10108000.00000000
0x288532460b6AfeEdA7631E4eDAD1E120d32438DE,200,10059120.00000000
0x5Ca1979ed2629fD6fdd3c210754064fB9366d216,200,10000000.00000000
0x83824d366807349f717CAcB553533fF071e19578,200,10000000.00000000
0xc086e1A69F0649D0294F6aB72a0De94929BB3D94,200,10000000.00000000
0xeEa2f1170aE0Ff00B91fc91f0f1a9783648A2576,200,10000000.00000000
0x5C18021E698935A591F51b7Ce9223Dd0aDC85eFf,200,10000000.00000000
0x9BD6aB02400Af657166C388d6d8982eC56d1440A,200,10000000.00000000
0xEE39bE8e712D4EFb47dC7704330709ed4c7e501e,200,9800000.00000000
0x20733009A7B1dB40eD9e3a360D96a1C92BFaEb7b,200,9657673.00000000
0xb6E523cFB6176339331C68d33eC7133aa5E5CFD8,200,9600000.00000000
0x76b3074680A8A4177D7bd36898e3bD5b2B0a004E,200,16400000.00000000
0x79B5Fe46B34C83bF82bEf2Dc5DFB316C6De56796,200,9600000.00000000
0x27534e1Df455EB5cAd0847B5a33Af39Bb5fa523d,200,8960000.00000000
0x9e09115Af5a535dA196AE79C92426eDcEE52c8C2,200,8800000.00000000
0xD0BC66d7BCe3D72f2B8BE275b507000F5c2e19d3,200,8546625.00000000
0x57cCE8541273e8DE328BD8a6b086C6e5b9BC9b5a,200,8155225.00000000
0x0B9DaB90021daf963c2ED70FD427AA1e53f027f7,200,8000000.00000000
0x9a1eBc4c0BCB01bEE00914717b6e597BBA2Cf4c5,200,8000000.00000000
0x1189a752B0a20137105a4883E06A1b3397359278,200,29620000.00000000
0x3F500c874e1e5ED0d3DaB3a8FD2DfC29BC5E9Db1,200,8000000.00000000
0x9341e5B5C12D307776d814419d06DEB530f1E3D3,200,8000000.00000000
0x6E1bF63de58DF81CefE843f3722831336f541C1f,200,8000000.00000000
0xb47B752d27de51A9D84d0F0d1D74Bc099D7aAda9,200,8000000.00000000
0xC90b94d9F294631AE8CE477c1faF7d35e22aFeEC,200,8000000.00000000
0xa0860e3500fa34F952ebC27B0aA5dc28439aa442,200,8000000.00000000
0xa9c1940d5c09dEe481f1969000317A1cE0eb4d02,200,8000000.00000000
0x21FEd1A57E3a91c35BbB6e89dEe64B3897E6AbC7,200,8000000.00000000
0xF132877e1317AA2ae2BE63C8a76c6C6b50C34Cd0,200,8000000.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,200,8000000.00000000
0x14f188CB5E6eCA045DB80B36D5214f0b95EEB52C,200,8000000.00000000
0x9E1f8bD285922CCd47196a15dc0aDca9e01046b0,200,12000000.00000000
0xEfc670EDE42d79C10b4F2B31a3C6CBfCa7332e3D,200,8000000.00000000
0xC7Efa01120c8eC153095c16C058A542c75cd4931,200,8000000.00000000
0x8aB2B25b575D3bFfcff40897D874a70646e35CB3,200,8000000.00000000
0x3c44B59a478fBc808e953e68A8C3F1704b2cEDC1,200,8000000.00000000
0x7bAA661b7a04d95d7661DB2f0A1F73Ee75944c16,200,8000000.00000000
0xe46ddedCAC1985eE416d0F492FBD1D5f4F651eDd,200,8000000.00000000
0x7F52ECB6dE9Dd984F0DfDcd2138C34B39b296AC6,200,8000000.00000000
0xb1412CA00378E9581DC1a5B423Ea2b69176FEa8d,200,8000000.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,200,8000000.00000000
0x0E0322899b38f62812047D4288EeEE5A8670253a,200,8000000.00000000
0x1Bd15C6C87F9977369E62437E0570606dF215fd4,200,7923200.00000000
0x462E676f15b61d21d308aABdd8D115b1A05C412F,200,7600000.00000000
0x77E063F7B65232DDbd0A2bD05a53cE8F7B70691c,200,7574708.00000000
0xBe33234B8Ea016594526281819066e5DF974f05c,200,7447280.00000000
0x646b2e30F1A704F88860f115a52889abA16F4d58,200,9000000.00000000
0xb6B9d3Cc500b9AA1313eab4CdA624eD88d0f5263,200,7400000.00000000
0xBc5F9F10Cea9A945436AA04bcad6DbF034a7005F,200,7372000.00000000
0xC191cF35f7BdF4c694d4A303e46a4Fb5FA678879,200,15200000.00000000
0x96A7baaD701C24306C1F8d109bbe0f29929A6C65,200,6761469.00000000
0x121F2694115376894fba0B6315fe60A1A80957F9,200,6676114.00000000
0xE84E6F752DA18C0e4F35712e885efddC796fbd43,200,6620000.00000000
0xb922C65Ff3Ec20b78E4C28F2d04D1C502906fd48,200,6600714.00000000
0xdE6d81d5A5914d8af2Cb655E333c6779B43dDe75,200,6806000.00000000
0xdC1C9EE50E3501695692fA6bCA48e2ebd64C3677,200,6600000.00000000
0x268e2F8C546435BfF71935128ba1cB12088CD37B,200,6580000.00000000
0x6cDa61c3ac80DdeA8d44a72B619bEBBBf2A88829,200,6313016.00000000
0x9e7d688C8b56dE559c32aB24416DEd03e2c99C94,200,6366302.00000000
0xA7B601B4Ff58c67c2E292df28c6eF54c4b232d34,200,7360000.00000000
0xC2046CE3C05A7034Ab89144DAc91E1e62Badb94D,200,6221000.00000000
0x1e0f9A9C7895458136F260344bea9F0C534834fC,201,6023484.00000000
0x5F238f07E37C217D13dB7cB2468825387e638D04,201,29181818.00000000
0x033d4de2709Df5941C1237Cd789C730947cdd0a4,201,6000000.00000000
0x48e3B4fB4D0CB3847239c998a1d15030DC0809ca,201,6000000.00000000
0x0c1Bd9C2019e206963A886A2c1E7a0F11A0b634e,201,6000000.00000000
0x9D74b14b80904bb29a1b0128E5DfddB0Bb1c4bFf,201,6000000.00000000
0xD291BB2Efb03F59Dd888E99bdbDCC2d65b10Ff7f,201,6000000.00000000
0x08Eeff5DcfA8770049d3322588Ec296e02b95399,201,6000000.00000000
0x250f9C39720A3b1bab6629A83Ba4821aEa90cB15,201,6000000.00000000
0x0704C531128C55134712789C83388e165Ef67e85,201,6000000.00000000
0x6992d9B01A9D1a15f40E51E9917e9f47951eDC0A,201,6000000.00000000
0x020b5b26fb0EA7BD200ECa4dDf5D0b16A0F34727,201,6000000.00000000
0xc708F0D2F3c3EEFab4B11cE5766D6e8585Ca2340,201,5951684.20000000
0x59f2ebb5f4F4eA6BD91D667CAec7ce8ecd26396F,201,5942114.00000000
0x813A0AaAd2b941218154fe25B1290Dac44a5A78E,201,5907127.00000000
0x949a43502f5864264F04e8049013aCe83144Fe58,201,5896782.00000000
0x367c48B4b79d2eA2C310A6DC9a9c33711CBd3131,201,5857712.00000000
0xeDf7cB7B05bb71af0330b553E97FDAb57F52dCAE,201,9710476.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,201,5651879.00000000
0xA9d792Fa742b155e8C3244D801591a568C6e5F2C,201,5600000.00000000
0xB3DE696A415a76beBF72e8B05246f0e6D2636D07,201,5600000.00000000
0xA5e7Dc3eDC5Ea4933a6FaA381A4A6671B171d1Ae,201,5600000.00000000
0x331250122592B74B6f140566b0D665889072d0C9,201,5500000.00000000
0x247c777B5e32196A888c56A7BB3EFAee44a80fc5,201,5500000.00000000
0x35f2f51eEaDAc0C4bdDbE2BDBC3d57Fd1d14b748,201,5500000.00000000
0xa1CB4D24974E0E7d039da85092Fc3A1Ae798b14B,201,5439600.00000000
0xD01486F9b5e582AB111d669d3bcA307B3A0B69bd,201,5430000.00000000
0xE5c24cccb6ceD2De0Ef081782f7c43b77956518f,201,5338055.00000000
0xbC08a608ca6eA7d9b0ADFA8e88C16B1Bb9F8DC25,201,5329687.00000000
0xCBf8C0045E1dacDf62b555c78d89f10d59fE820F,201,5319799.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,201,5318349.00000000
0x52B373Aa617f14798A72DACf376E56b1Bd3fCf28,201,5278400.00000000
0xc3c4E604F74519Aa2Eb32C88618707c1DdD940C5,201,5558000.00000000
0x48ce9185721206731035e4dAFB3AF9E4883F926E,201,5248800.00000000
0xc8eB8ddDaF47486DE4959982762a67BDdb253c20,201,5200000.00000000
